,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
607,다이아몬드 더스트,"강형규,강형규",X(완결),로맨스,"서로 다른 두 남녀의
흔하지 않은 
특별한 사랑 이야기",카카오,https://webtoon.kakao.com/content/다이아몬드-더스트/853,https://kr-a.kakaopagecdn.com/P/C/853/c1/2x/a10a4aca-cf23-4f86-8bff-9cf2e7ebf3b5.png
608,3M,"강도하,강도하",X(완결),드라마,"길을 잃고
헤매이는 사람들의
사랑 이야기",카카오,https://webtoon.kakao.com/content/3M/931,https://kr-a.kakaopagecdn.com/P/C/931/c1/2x/36745c58-dff1-4f8c-b63f-34202e7d606a.png
609,헌티드 스쿨,"계란계란,계란계란",X(완결),공포/스릴러,"학원기이야담의 시초!
흥미진진한 학교 괴담
사냥이 시작된다!",카카오,https://webtoon.kakao.com/content/헌티드-스쿨/844,https://kr-a.kakaopagecdn.com/P/C/844/c1/2x/94a99138-8133-47cc-9695-09dd39f66433.png
610,세상 밖으로,"조금산,조금산",X(완결),공포/스릴러,"뜻하지 못한 사건에 
휘말려버리다! 우리가 
감당할 수 있을까?",카카오,https://webtoon.kakao.com/content/세상-밖으로/744,https://kr-a.kakaopagecdn.com/P/C/744/c1/2x/062a4675-5e59-4e1d-ae42-911a4e11dddf.png
611,그루밍 선데이,"Hun,Hun",X(완결),코믹/일상,"Hun 작가와
작은 고양이
알콩달콩 동거 이야기",카카오,https://webtoon.kakao.com/content/그루밍-선데이/736,https://kr-a.kakaopagecdn.com/P/C/736/c1/2x/6d20ac20-fc67-49de-813e-b45fec85dfde.png
612,돼지고기 동동,"조경규,조경규",X(완결),코믹/일상,"오동통한 돼지고기의
치명적인 매력에
풍덩 빠져봅시다!",카카오,https://webtoon.kakao.com/content/돼지고기-동동/906,https://kr-a.kakaopagecdn.com/P/C/906/c1/2x/6acd11bb-ec2d-49a5-9f54-f6035ef107ec.png
613,커밍업!,"기선,기선",X(완결),로맨스,"본격
걸그룹 만들기
프로젝트!",카카오,https://webtoon.kakao.com/content/커밍업/671,https://kr-a.kakaopagecdn.com/P/C/671/c1/2x/162e4342-7e43-4e10-b00c-3e5f4d765573.png
614,한여름밤의 꿈,"김용회,김용회",X(완결),드라마,"숲, 소년, 한여름의
꿈이 시작되는 
순간의 이야기",카카오,https://webtoon.kakao.com/content/한여름밤의-꿈/863,https://kr-a.kakaopagecdn.com/P/C/863/c1/2x/a4835eeb-0fb8-40ad-8114-60e17c1bfb41.png
615,루드비코의 만화영화,"루드비코,루드비코",X(완결),코믹/일상,"루드비코 작가가
선사하는
영화로 보는 일상.",카카오,https://webtoon.kakao.com/content/루드비코의-만화영화/882,https://kr-a.kakaopagecdn.com/P/C/882/c1/2x/92463b61-3287-4ffb-891a-ff3a2ea6b3fd.png
616,"다시, 봄","라라시스터,라라시스터",X(완결),판타지 드라마,"다시는 안올 그날이 
되돌아 오면 당신은
무엇을 할건가요?",카카오,https://webtoon.kakao.com/content/다시-봄/860,https://kr-a.kakaopagecdn.com/P/C/860/c1/2x/7f5dd50f-c853-43b6-b794-e2e8436f7a98.png
617,언더시티,"쵸밥,쵸밥",X(완결),학원/판타지,"가상현실의 도시, 
언더시티에 오신 것을 
환영합니다.",카카오,https://webtoon.kakao.com/content/언더시티/793,https://kr-a.kakaopagecdn.com/P/C/793/c1/2x/5e4ea3b9-a191-403b-9a77-7860f32f0a52.png
618,트릭코드,"환상거북,환상거북",X(완결),공포/스릴러,"미스터리한 사건들의 
숨겨진 비밀을 
밝히기 위한 추리극",카카오,https://webtoon.kakao.com/content/트릭코드/840,https://kr-a.kakaopagecdn.com/P/C/840/c1/2x/f3dfd36d-2ea1-4421-8027-480d235f8dd6.png
619,애썸,"김종진,김종진",X(완결),로맨스,"누구나 겪었을 법한 
사랑과 만남에 대한 
여덟가지 짧은 이야기",카카오,https://webtoon.kakao.com/content/애썸/861,https://kr-a.kakaopagecdn.com/P/C/861/c1/2x/c9e1710b-0043-4244-b31b-370213071bc9.png
620,웨이크 업 데드맨,"김용환,김용환",X(완결),학원/판타지,"그녀는 인간 나는 좀비
사랑할 수 없는 사람을
사랑한 죄",카카오,https://webtoon.kakao.com/content/웨이크-업-데드맨/528,https://kr-a.kakaopagecdn.com/P/C/528/c1/2x/1c1b1f8e-0418-4f36-9c63-55e8c3a5d563.png
621,오세요 타로샵,"박강호,박강호",X(완결),드라마,"국내최초 타로실전 웹툰
여러분들의 모든
궁금증을 풀어드립니다!",카카오,https://webtoon.kakao.com/content/오세요-타로샵/837,https://kr-a.kakaopagecdn.com/P/C/837/c1/2x/b69850b8-83fe-42fc-9c32-88ce2fd7203e.png
622,발광하는 현대사,"강도하,강도하",X(완결),드라마,"지독하게 얽히고 설킨
다양한 욕망들의 
그  끝은 무엇일까?",카카오,https://webtoon.kakao.com/content/발광하는-현대사/836,https://kr-a.kakaopagecdn.com/P/C/836/c1/2x/2f978ee5-988f-44ad-b92c-c5ba98b3cdcc.png
623,노루,"안성호,안성호",X(완결),판타지 드라마,"200광년을 건너온
카메라에 담긴
인류의 마지막 이야기!",카카오,https://webtoon.kakao.com/content/노루/846,https://kr-a.kakaopagecdn.com/P/C/846/c1/2x/3379914e-9c30-41ae-9039-18cf22d0e8f6.png
