Unnamed: 0,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
20,버니 로즈,"WALCOMIC,WALCOMIC",수,로맨스,"멋진 연애를 꿈꾸지만
생각대로 풀리지 않는
세 사람의 로맨스시트콤",카카오,https://webtoon.kakao.com/content/버니-로즈/2842,https://kr-a.kakaopagecdn.com/P/C/2842/c1/2x/5f16918b-50a3-4289-98c9-7b9cf6cac4b1.png
21,구원,"Axis,Axis",수,액션/무협,"사랑에 빠진 킬러,
복제인간 그녀를 위해 
세상에 맞서다!",카카오,https://webtoon.kakao.com/content/구원/2130,https://kr-a.kakaopagecdn.com/P/C/2130/c1/2x/b339ccbd-b2ba-4905-84d8-6c6519eb97b0.png
22,동솔동 아이들,"솔한,솔한",수,판타지 드라마,"특이하고 
매력적인 
동솔동 아이들 일상",카카오,https://webtoon.kakao.com/content/동솔동-아이들/2687,https://kr-a.kakaopagecdn.com/P/C/2687/c1/2x/b090604e-3840-4435-bfc0-127bece0b160.png
23,지금부터 속편이 시작됩니다,"최경민,용성",수,공포/스릴러,"소설가 팬카페에서
일어난 의문의 죽음들
그들의 과거가 밝혀진다",카카오,https://webtoon.kakao.com/content/지금부터-속편이-시작됩니다/2856,https://kr-a.kakaopagecdn.com/P/C/2856/c1/2x/1bd6f6ff-da7d-4880-968c-fa984e2d3d14.png
24,나에게 온 달,"석빈,석빈",수,액션/무협,"바보 온달과 평강공주의
설화를 바탕으로 한
최강의 액션 판타지",카카오,https://webtoon.kakao.com/content/나에게-온-달/2639,https://kr-a.kakaopagecdn.com/P/C/2639/c1/2x/988ff79d-96f0-4227-b1b6-9964009b6b9d.png
25,4명 중 1명은 죽는다,"고민중,고민중",수,공포/스릴러,"발병자 세 사람. 
그리고 그들에게 
감염 당한 한 사람.",카카오,https://webtoon.kakao.com/content/4명-중-1명은-죽는다/2815,https://kr-a.kakaopagecdn.com/P/C/2815/c1/2x/522a5998-c8b2-4d06-940c-0baeca0a2995.png
26,오적도,"조원표,조원표",수,공포/스릴러,"섬마을에 갇힌 학생들.
그리고 그 섬에
존재하는 끔찍한 괴물",카카오,https://webtoon.kakao.com/content/오적도/2733,https://kr-a.kakaopagecdn.com/P/C/2733/c1/2x/c413bcf0-4994-47a0-ac1d-1015e06c84f6.png
27,남주와 그리는 로맨스,"전재훈,전재훈",수,로맨스,"로맨스 웹툰 작가를
꿈꾸는 승아에게
존잘남 세화가 찾아왔다",카카오,https://webtoon.kakao.com/content/남주와-그리는-로맨스/2741,https://kr-a.kakaopagecdn.com/P/C/2741/c1/2x/47e7f689-cb85-45df-97cf-9a4b1ecfe328.png
28,뇌명의 하라,"지애,지애",수,판타지 드라마,"최애와 함께
이세계를 구하면
소원을 이룰 수 있다!",카카오,https://webtoon.kakao.com/content/뇌명의-하라/2836,https://kr-a.kakaopagecdn.com/P/C/2836/c1/2x/6422d72a-daf0-4a31-af21-a87ee5d103a0.png
29,배신 주의 로맨스,"남방과일차,오제이",수,로맨스,"""우리는 사귀면 안돼""
나는 마로를 찼다,
친구들 때문에..",카카오,https://webtoon.kakao.com/content/배신-주의-로맨스/2889,https://kr-a.kakaopagecdn.com/P/C/2889/c1/2x/a1f6c138-8cd2-4d4d-ae5d-8b4111e95c42.png
