id,title,author,day,genre,story,platform,webtoon_url,thumbnail_url
815,언원티드,둠스,X(완결),드라마,전 세계 재벌 1위 강동구찐따였던 고등학생 때로 돌아가다,네이버,https://comic.naver.com/webtoon/list?titleId=698469,https://shared-comic.pstatic.net/thumb/webtoon/698469/thumbnail/thumbnail_IMAG06_8d36c24e-d6d5-46ab-a45d-b84d7a9e1530.jpg
816,[드라마원작] 알고있지만,정서,X(완결),로맨스,"""넌 내가 나비라는걸 알고 있잖아.""알면서도 빠지고 싶은 사랑<투명한 동거> 정서 작가의 신작",네이버,https://comic.naver.com/webtoon/list?titleId=718018,https://shared-comic.pstatic.net/thumb/webtoon/718018/thumbnail/thumbnail_IMAG06_d5c9d1c8-1213-4b47-a075-e56e382aba46.jpg
817,오직 나의 주인님,상수,X(완결),로맨스,"인간이 된 강아지. 11년 전, 자신을 키워줬던 주인님을 만나다?",네이버,https://comic.naver.com/webtoon/list?titleId=703635,https://shared-comic.pstatic.net/thumb/webtoon/703635/thumbnail/thumbnail_IMAG06_b799e21e-a2d8-4268-96b5-99a307ffd195.jpg
818,데우스 엑스 마키나,꼬마비,X(완결),드라마,신은 어디에나 있다,네이버,https://comic.naver.com/webtoon/list?titleId=720116,https://shared-comic.pstatic.net/thumb/webtoon/720116/thumbnail/thumbnail_IMAG06_40986fda-16f3-4575-9078-71babec98562.jpg
819,한국만화 또 다른 시선,웹툰작가,X(완결),일상,또 다른 만화를 제안하다인디 웹툰 단편집,네이버,https://comic.naver.com/webtoon/list?titleId=723862,https://shared-comic.pstatic.net/thumb/webtoon/723862/thumbnail/thumbnail_IMAG06_96d6909e-664f-429c-8867-4550bbc247df.jpg
820,고교생을 환불해 주세요,Croissant,X(완결),드라마,저승로맨스판타지 학원물이 온다!,네이버,https://comic.naver.com/webtoon/list?titleId=708453,https://shared-comic.pstatic.net/thumb/webtoon/708453/thumbnail/thumbnail_IMAG06_e8123973-8760-4834-9d2e-75ca09e0c9af.jpg
821,미시령,모코넛,X(완결),스릴러,"지옥이 되어버린 고개, 미시령. 활을 들어, 이 고개에서 살아남아라.",네이버,https://comic.naver.com/webtoon/list?titleId=697533,https://shared-comic.pstatic.net/thumb/webtoon/697533/thumbnail/thumbnail_IMAG06_6c9e918b-e903-4932-b9e2-3804cde50973.jpg
822,조의 영역,조석,X(완결),스릴러,물에 살던 녀석들의 모습이 상식을 벗어나기 시작했다.'마음의 소리' 조석의 재난 스릴러,네이버,https://comic.naver.com/webtoon/list?titleId=697656,https://shared-comic.pstatic.net/thumb/webtoon/697656/thumbnail/thumbnail_IMAG06_3318fd14-6fc0-4945-9f3a-378b43cc8955.jpg
823,왕으로 살다,네스티캣,X(완결),무협/사극,살해당한 쌍둥이 오빠를 대신해 왕의 자리에 오른 화현의 운명은?,네이버,https://comic.naver.com/webtoon/list?titleId=713294,https://shared-comic.pstatic.net/thumb/webtoon/713294/thumbnail/thumbnail_IMAG06_856b60f4-cc33-40df-8fae-70ba120e0fbd.jpg
824,파리의 우리동네,이재이,X(완결),드라마,냉전 중인 줄로만 알았던 남친의 결혼소식을 듣고 충격을 받은 주영. 무너져버린 삶 속에서 망가져 가는 자신을 추스르기 위해 무작정 떠난 파리에서 그녀가 만난 것은…?※본 작품은 시리즈 오리지널 작품으로 네이버웹툰에서 듀얼연재됩니다.※,네이버,https://comic.naver.com/webtoon/list?titleId=721458,https://shared-comic.pstatic.net/thumb/webtoon/721458/thumbnail/thumbnail_IMAG06_25af760c-da96-4800-9e03-fbbe60bf278c.jpg
